"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"1","GAPDH",0,0,1,1
"2","USP4",0,0,0,0
"3","MAPKAPK2",0,0,0,1
"4","CPEB1",0,0,0,0
"5","LANCL2",0,0,0,0
"6","MCL1",0,0,1,0
"7","TMEM109",0,0,0,1
"8","TMEM189",0,0,0,0
"9","ITPK1",0,0,0,1
"10","UBXN11",0,0,0,0
"11","SCARB1",0,0,0,1
"12","USP28",0,0,0,0
"13","NUDT21",0,0,0,1
"14","LDHB",0,0,1,0
"15","SEC62",0,0,0,1
"16","SRF",0,0,0,1
"17","EEF1G",0,0,0,0
"18","COX6C",0,0,0,1
"19","KIF2A",0,0,0,0
"20","ESRP1",1,0,0,1
"21","RPL39",0,0,0,0
"22","MFF",0,0,0,0
"23","AATF",0,0,0,0
"24","ICMT",0,0,0,1
"25","NENF",0,0,0,0
"26","ZNF585A",0,0,0,0
"27","COL6A3",1,0,1,1
"28","RPS5",1,1,1,1
"29","C4B",1,0,1,1
"30","C12orf57",0,0,0,0
"31","TUBB",0,0,0,0
"32","H3F3A",0,0,1,1
"33","CAB39L",0,0,0,0
"34","KRT7",0,0,0,0
"35","RPL21",1,0,1,1
"36","GPX1",1,0,0,1
"37","TMEM176A",0,0,0,0
"38","ZNF146",0,0,0,1
"39","AP1G1",0,0,0,1
"40","PLK2",0,0,0,1
"41","NKG7",0,0,0,0
"42","ASCC3",0,0,0,0
"43","PDZK1IP1",0,0,0,1
"44","CD63",0,0,1,1
"45","TCEB2",0,0,1,0
"46","RPL34",1,0,0,1
"47","NBR1",0,0,0,1
"48","CDC37",0,0,0,1
"49","SLC35F5",0,0,0,1
"50","SUSD6",0,0,0,1
"51","WIZ",0,0,0,1
"52","YAF2",0,0,0,0
"53","TMEM43",0,0,0,1
"54","APOA1BP",0,0,0,1
"55","CLCN7",0,0,0,1
"56","OAZ1",0,0,0,1
"57","WEE1",0,0,0,1
"58","SUB1",0,0,0,0
"59","ACTN4",1,0,0,1
"60","HIPK1",0,0,0,1
"61","CCT4",0,0,0,1
"62","CCNY",0,0,0,0
"63","H2AFJ",1,0,1,1
"64","LTBP2",1,0,0,1
