"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"1","Nrf1",0,0,0,0
"2","Zbtb5",0,0,0,0
"3","Ccnl1",0,0,0,0
"4","Lrrfip1",0,0,0,0
"5","Bbs1",0,0,0,0
"6","Lix1",0,0,0,1
"7","Whrn",0,0,0,0
"8","Ate1",0,0,0,0
"9","Ubac1",0,0,0,0
"10","Rab34",0,0,0,0
"11","Nap1l1",0,0,0,1
"12","Srgap3",0,1,0,0
"13","Slc1a3",0,0,0,1
"14","Polr3k",0,0,0,0
"15","Inpp5f",0,0,0,0
"16","Ndufaf6",0,0,0,0
"17","Atp5j2",0,0,0,0
"18","Tnpo2",0,0,0,0
"19","X2010300C02Rik",1,1,1,1
"20","B3gat3",0,0,0,0
"21","Commd5",0,0,0,0
"22","Ints3",0,0,0,0
"23","Rbm6",0,0,0,0
"24","Rnpepl1",0,0,0,0
"25","Sox2",0,0,0,0
"26","Cbx5",0,0,0,1
"27","Poldip3",0,0,0,0
"28","Mapre1",0,0,0,0
"29","Luc7l3",0,0,0,1
"30","Pi4kb",0,0,0,0
"31","Mink1",0,0,0,0
"32","Resp18",0,0,0,0
"33","Rnf10",0,0,0,0
"34","Eef1a1",0,0,1,1
"35","Mdfic",0,0,0,0
"36","Rhbdf1",0,0,0,1
"37","Zfp605",0,0,0,0
"38","Zbtb14",0,0,0,0
"39","Sh3gl2",1,1,1,1
"40","Fam213a",0,0,1,1
"41","Dbn1",1,0,1,1
"42","Cldn5",1,0,1,1
"43","Fam193b",0,0,0,0
"44","Grik5",0,0,1,1
"45","Pip5k1a",0,0,0,0
"46","Sh3bgrl",0,1,0,0
"47","Cwc25",0,0,0,0
"48","Camkk1",0,0,0,0
"49","Chn2",0,0,0,0
"50","Dhh",0,0,0,0
"51","Map3k11",0,0,0,0
"52","Zmynd11",0,0,0,0
"53","Snx13",0,0,0,0
"54","Ptbp3",0,0,0,0
"55","Secisbp2l",0,0,0,1
"56","Fyco1",0,0,1,1
"57","Cox5b",0,0,1,0
"58","Rnf181",0,0,0,0
"59","Cyfip2",0,0,0,0
"60","Sptssa",0,0,0,1
"61","Pmepa1",1,0,1,1
"62","Pde4dip",0,0,0,0
"63","Rhbdd3",0,0,0,0
"64","Oxct1",0,1,0,0
"65","Huwe1",0,1,0,0
"66","Tcaim",0,0,0,0
"67","Med13",0,0,0,0
"68","Nlk",0,0,0,0
"69","Atm",0,0,0,0
"70","Sptan1",0,0,0,0
"71","Zcchc11",0,0,0,0
"72","Etv3",0,0,0,0
"73","Tspan2",0,0,0,0
"74","Fam160a2",0,0,0,0
"75","Zfyve20",0,0,0,0
"76","Ctr9",0,0,0,0
"77","Cers5",0,0,0,1
"78","Scly",0,0,0,0
"79","Fndc4",0,0,0,0
"80","Kif1b",0,0,1,0
"81","Polr2l",0,0,0,0
"82","Vcpip1",0,0,0,0
"83","Pcp4",1,1,1,1
"84","Gnb2",0,0,1,1
"85","Rapgef3",0,0,0,0
"86","Sema3c",1,0,0,0
"87","Tipin",0,0,0,0
"88","Atp6v0d1",0,0,0,0
"89","Gpr137b",0,0,0,0
"90","X2310010J17Rik",0,0,0,0
"91","Slc3a2",0,0,0,0
"92","Rbmx",0,0,0,0
"93","Ube2a",0,0,0,0
"94","Man1b1",0,0,0,0
"95","Ndel1",0,0,0,0
"96","Cdk5",0,0,0,0
"97","Arf4",0,0,0,0
"98","Lrfn4",0,0,0,0
"99","Hist1h2ad",0,0,0,0
"100","Dnajc4",0,0,0,0
"101","Usp33",0,0,0,0
"102","Tmem203",0,0,0,0
"103","Mcfd2",0,0,0,0
"104","Epha10",0,0,0,0
"105","Slc9a3r2",0,0,0,0
"106","Ahi1",0,0,0,0
"107","Ap3b2",0,0,0,0
"108","Tbx15",0,0,0,0
"109","Aacs",0,0,0,0
"110","Trim11",0,0,0,0
"111","Snrnp70",0,0,0,0
"112","Dock1",0,0,0,0
"113","Eif4ebp2",0,0,0,0
"114","Trpv2",0,0,0,0
"115","Higd1a",0,0,0,0
"116","Ngrn",0,0,0,0
"117","Hspa1a",0,0,0,0
"118","Sept8",0,0,0,0
"119","Psme2",0,0,0,0
"120","Rps15a",0,0,0,0
"121","Utrn",0,0,0,0
"122","Lsm3",0,0,0,0
"123","Wbp1l",0,0,0,0
"124","Gm10012",0,0,0,0
"125","Fstl5",0,0,1,0
"126","Pgap1",0,0,0,0
"127","Pam",0,0,0,0
"128","Arpc1a",0,0,0,0
"129","Trmt11",0,0,0,0
"130","Gtf2h4",0,0,0,0
"131","Mageh1",0,0,0,0
"132","Cdk14",0,1,0,0
"133","Zmiz1",0,0,0,0
"134","Ndufc1",0,0,0,0
"135","Ttyh2",0,0,0,0
"136","Tpk1",0,0,0,0
"137","Hnrpll",0,0,0,0
"138","Pde12",0,0,0,0
"139","Cops8",0,0,0,0
"140","Arhgap5",1,0,1,1
"141","Hey1",0,0,0,0
"142","Cox14",0,0,0,0
"143","Pak6",0,0,0,0
"144","B230217C12Rik",0,0,0,0
"145","X2410004B18Rik",0,0,0,0
"146","X1600012H06Rik",0,0,0,0
"147","Pdap1",0,0,0,0
"148","Gpatch2l",0,0,0,0
"149","Rasgrp3",0,0,0,0
"150","Hnrnpul2",0,1,0,0
"151","Adamts15",0,0,0,0
"152","Apc",1,0,1,1
"153","Rab33b",0,0,0,0
"154","Btbd3",0,1,0,0
"155","B4galt5",0,1,0,0
"156","Slc2a1",0,0,1,1
"157","Rd3",0,0,0,0
"158","Coq6",0,0,0,0
"159","Vdac1",0,0,0,0
"160","Plec",0,0,0,0
"161","Gclm",0,0,0,0
"162","Tuba1a",0,0,0,0
"163","Brd4",0,0,0,1
"164","Pyroxd2",0,0,0,0
"165","Itsn1",0,0,0,0
"166","Ctsb",1,0,1,1
"167","Srcin1",0,0,0,0
"168","Tspan31",0,0,0,0
"169","Paics",0,0,0,0
"170","Mark1",0,0,0,0
"171","Aip",0,0,0,0
"172","Nudt3",0,0,0,1
"173","Ccnh",0,0,0,1
"174","Ube2ql1",1,1,1,1
"175","Auts2",0,0,0,0
"176","Cd99l2",0,0,0,0
"177","Tcerg1",0,0,0,0
"178","Fzr1",0,0,0,0
"179","Chmp5",0,0,0,0
"180","Mfsd2a",1,0,0,1
"181","Naca",0,0,0,0
"182","Tada1",0,0,0,0
"183","Slu7",0,0,0,0
"184","Tbp",0,0,0,0
"185","Phc3",0,0,0,0
"186","Slc38a6",0,0,0,0
"187","Csnk1g3",1,1,0,0
"188","March5",0,0,0,0
"189","Gm13889",1,1,1,1
"190","Htr3a",0,0,0,0
"191","Shisa3",1,0,1,1
"192","Rab18",0,0,0,0
"193","Pld1",0,0,0,0
"194","Zfp91",0,0,0,0
"195","Plcl1",0,0,0,0
"196","Bgn",1,0,1,1
"197","Col9a1",0,0,0,0
"198","Neto2",0,0,0,0
"199","Ppp3cc",0,0,0,0
"200","Mat2b",0,0,0,0
"201","Tgfbr2",0,0,0,0
"202","Daam1",0,0,0,0
"203","Rps4x",0,0,0,0
"204","Anapc4",0,0,0,0
"205","Eprs",0,0,0,0
"206","Pcsk6",0,0,0,0
"207","Ptprd",0,0,0,0
"208","Psmb10",0,0,0,0
"209","Fancc",0,0,0,0
"210","Acbd5",0,0,0,0
"211","X1200011I18Rik",0,0,0,0
"212","Syt4",0,0,0,0
"213","Rbm42",0,0,0,0
"214","Pygb",0,0,0,0
"215","Eomes",1,0,1,1
"216","Aldh7a1",0,0,1,1
"217","Mypop",0,0,0,0
"218","Aco2",0,0,0,1
"219","Nr2f1",0,0,0,0
"220","Cdk17",1,0,1,1
"221","Steap2",0,0,0,0
"222","Car10",0,0,0,0
"223","Lamtor1",0,0,0,0
"224","Vps26a",0,0,0,1
"225","Sertad4",0,0,0,0
"226","Atg9a",0,0,0,0
"227","Rpl10a",0,1,0,0
"228","B3galtl",0,0,0,0
"229","Cand2",0,0,0,0
"230","Tmx3",0,0,0,0
"231","Ank2",0,0,0,0
"232","Cul1",0,0,0,0
"233","Syt13",0,0,0,0
"234","Tiam2",0,1,0,0
"235","Frmd3",0,0,0,0
"236","Clk4",0,0,0,0
"237","Dopey2",0,0,0,0
"238","Gpr37l1",0,0,1,1
"239","Adnp",0,0,0,0
"240","Cdca7l",0,0,0,0
"241","Rwdd4a",0,0,0,0
"242","Cuedc2",0,1,0,0
"243","Kptn",0,0,0,0
"244","Hspe1",0,0,0,0
"245","Pitrm1",0,0,0,0
"246","Dlx6as1",0,1,0,0
"247","Arhgap32",0,0,0,0
"248","Scrib",1,0,1,1
"249","Arap2",0,0,0,0
"250","Pcdhb7",0,0,0,0
"251","Cox4i1",0,1,0,0
"252","Cnn3",1,0,1,1
"253","Ryr3",0,0,0,0
"254","Ppp1r36",0,0,0,0
"255","Xrcc6bp1",0,0,0,0
"256","Ccdc85a",0,0,0,0
"257","Dhps",0,0,0,0
"258","Cd24a",0,0,0,0
"259","Wdr1",0,0,0,0
"260","Copa",0,0,0,0
"261","Slitrk5",0,0,0,0
"262","Map2k2",0,0,0,0
"263","Itgb1",1,0,0,1
"264","Pikfyve",0,0,0,0
"265","Txndc15",0,0,0,0
"266","Myt1l",1,1,0,0
"267","Vat1l",1,0,1,1
"268","Shprh",0,0,0,1
"269","Arhgdig",1,0,1,0
"270","BC002163",0,0,0,0
"271","Acsl4",0,0,0,0
"272","Rgs12",1,0,1,1
"273","Man2b1",1,0,0,0
"274","Pex13",0,0,0,0
"275","Prune2",0,0,0,0
"276","Rmnd5b",0,0,0,0
"277","Rad9a",0,0,0,0
"278","E2f7",0,0,0,0
"279","Lmnb2",0,0,0,0
"280","Sfrp1",0,0,0,0
