"","x","y"
"1",17.907,4.967
"2",18.965,5.003
"3",18.954,5.995
"4",17.846,5.993
"5",20.016,6.019
"6",20.889,6.956
"7",20.062,6.974
"8",16.98,6.989
"9",17.918,6.991
"10",18.877,6.984
"11",21.847,7.896
"12",20.901,7.965
"13",23.118,7.985
"14",19.974,7.988
"15",17.904,8.003
"16",18.948,8.031
"17",16.753,8.02
"18",21.849,8.887
"19",20.936,8.944
"20",17.928,8.984
"21",23.097,9.011
"22",24.076,8.991
"23",18.939,9
"24",19.925,8.992
"25",14.901,9.04
"26",15.971,9.014
"27",16.783,9.018
"28",21.892,9.87
"29",20.806,9.928
"30",24.931,9.981
"31",23.152,10
"32",17.922,9.987
"33",20.05,9.97
"34",13.961,10.011
"35",24.085,9.99
"36",18.824,9.985
"37",16.029,10.012
"38",16.909,10.017
"39",14.907,10.046
"40",21.86,10.874
"41",23.039,10.98
"42",20.87,10.952
"43",24.057,10.967
"44",20.003,10.972
"45",25.949,10.985
"46",24.917,10.977
"47",17.897,10.988
"48",16.889,11.002
"49",14.947,11.026
"50",18.899,11.016
"51",13.894,11.02
"52",15.936,11.026
"53",21.842,11.852
"54",20.926,11.911
"55",24.038,11.933
"56",19.951,11.941
"57",27.002,11.945
"58",18.948,11.948
"59",23.062,11.974
"60",17.92,11.965
"61",13.936,11.976
"62",14.955,11.98
"63",12.987,11.976
"64",16.905,11.977
"65",24.959,11.972
"66",15.934,11.99
"67",25.961,11.983
"68",21.868,12.876
"69",20.89,12.932
"70",20.014,12.947
"71",23.072,12.973
"72",12.005,12.982
"73",18.886,12.964
"74",24.06,12.946
"75",13.036,12.962
"76",27.013,12.96
"77",25.988,12.971
"78",14.956,12.986
"79",15.962,12.984
"80",24.93,12.97
"81",16.854,13.001
"82",13.903,13.006
"83",21.817,13.865
"84",20.927,13.924
"85",25.966,13.953
"86",12.021,13.982
"87",13.035,13.956
"88",18.961,13.959
"89",19.962,13.959
"90",23.04,13.975
"91",24.057,13.963
"92",17.865,13.959
"93",27.973,13.971
"94",24.967,13.956
"95",26.982,13.977
"96",13.894,13.982
"97",14.959,13.987
"98",16.874,14.013
"99",15.976,14.037
"100",21.844,14.835
"101",20.896,14.894
"102",19.996,14.918
"103",12.062,14.964
"104",18.909,14.952
"105",23.049,14.968
"106",24.066,14.942
"107",24.985,14.951
"108",25.95,14.954
"109",13.006,14.964
"110",16.893,14.966
"111",17.929,14.951
"112",13.941,14.978
"113",26.999,14.966
"114",15.947,14.985
"115",27.865,14.971
"116",10.821,15.855
"117",21.908,15.857
"118",23.065,15.944
"119",27.004,15.931
"120",28.956,15.926
"121",24.043,15.936
"122",27.94,15.929
"123",20.869,15.941
"124",9.81,15.939
"125",25.018,15.941
"126",19.985,15.957
"127",18.929,15.97
"128",13.866,15.962
"129",11.987,15.985
"130",13.068,15.967
"131",14.979,15.978
"132",15.909,15.981
"133",16.925,16.002
"134",25.934,16.023
"135",17.846,16.113
"136",10.825,16.832
"137",21.849,16.849
"138",9.852,16.928
"139",14.912,16.965
"140",23.082,16.936
"141",20.946,16.93
"142",27.986,16.946
"143",18.982,16.954
"144",8.932,16.965
"145",12.022,16.995
"146",26.945,16.965
"147",28.908,16.97
"148",17.887,16.976
"149",15.924,16.989
"150",25.969,16.987
"151",16.909,16.994
"152",19.898,16.997
"153",24.05,17
"154",12.996,17.01
"155",24.967,17.011
"156",21.815,17.836
"157",20.945,17.896
"158",7.924,17.928
"159",9.861,17.931
"160",26.974,17.926
"161",27.959,17.923
"162",19.947,17.924
"163",12.029,17.967
"164",18.92,17.932
"165",23.031,17.956
"166",24.042,17.945
"167",16.908,17.951
"168",17.895,17.949
"169",8.948,17.955
"170",15.934,17.959
"171",12.999,17.964
"172",13.95,17.967
"173",25.943,17.973
"174",24.993,17.972
"175",14.936,17.987
"176",21.841,18.845
"177",13.049,18.94
"178",20.947,18.93
"179",24.067,18.934
"180",20.002,18.943
"181",23.052,18.956
"182",27.94,18.942
"183",11.999,18.982
"184",17.864,18.951
"185",26.968,18.952
"186",16.921,18.963
"187",24.977,18.95
"188",25.948,18.959
"189",18.887,18.959
"190",13.909,18.965
"191",15.948,18.987
"192",14.926,18.999
"193",21.886,19.83
"194",23.058,19.956
"195",18.964,19.945
"196",26.946,19.955
"197",13.944,19.962
"198",17.855,19.956
"199",24.065,19.964
"200",25.957,19.97
"201",20.913,20.004
"202",12.951,20.01
"203",19.98,20.008
"204",14.988,20.004
"205",15.896,20.044
"206",25.02,20.153
"207",23.077,20.97
"208",20.116,20.962
"209",17.867,20.954
"210",18.946,20.962
"211",26.997,20.955
"212",15.989,20.983
"213",24.046,20.982
"214",25.964,20.984
"215",13.905,21.008
"216",14.877,21.028
"217",24.985,21.028
"218",20.964,21.73
"219",21.88,21.822
"220",20.018,21.924
"221",17.893,21.953
"222",18.957,21.952
"223",24.12,21.952
"224",16.919,21.976
"225",23.026,21.989
"226",24.951,21.959
"227",15.97,21.986
"228",14.981,22.004
"229",25.921,21.976
"230",13.918,22.022
"231",21.874,22.847
"232",20.985,22.91
"233",17.898,22.932
"234",18.963,22.952
"235",19.952,22.955
"236",23.099,22.977
"237",15.984,22.97
"238",16.933,22.967
"239",26.021,22.977
"240",24.088,22.99
"241",24.957,23.019
"242",21.894,23.851
"243",18.937,23.952
"244",20.925,23.924
"245",20.019,23.934
"246",24.055,23.946
"247",23.094,23.975
"248",24.981,23.964
"249",21.874,24.852
"250",23.096,24.93
"251",24.076,25.951
