"","x","y"
"1",16.92,9.015
"2",16.945,11.075
"3",16.97,10.118
"4",16.939,12.132
"5",16.949,13.055
"6",16.942,15.088
"7",16.941,17.065
"8",16.919,16.055
"9",9.862,9.024
"10",12.08,9.115
"11",10.802,9.131
"12",13.979,9.1
"13",15.008,9.051
"14",15.949,9.027
"15",15.944,10.075
"16",15.002,11.082
"17",15.004,10.067
"18",15.968,11.107
"19",13.095,11.07
"20",13.98,11.112
"21",13.044,10.102
"22",14.012,10.11
"23",14.025,13.091
"24",13.03,12.084
"25",13.071,13.097
"26",14.011,12.095
"27",15.941,12.112
"28",15.041,12.084
"29",15.044,13.062
"30",15.919,13.049
"31",10.861,10.031
"32",12.009,11.134
"33",12.053,10.127
"34",10.877,11.024
"35",9.865,9.925
"36",9.904,11.036
"37",9.894,13.04
"38",9.876,12.033
"39",12.025,13.139
"40",10.901,13.022
"41",10.897,12.014
"42",12.054,12.119
"43",12.033,15.113
"44",10.927,15.025
"45",12.156,14.169
"46",10.918,14.019
"47",9.853,15.049
"48",9.846,14.032
"49",9.903,17.052
"50",9.938,16.03
"51",11.996,16.133
"52",12.138,17.112
"53",10.882,16.005
"54",10.922,17.038
"55",15.042,15.076
"56",15.959,14.072
"57",15.052,14.069
"58",15.929,15.087
"59",13.045,14.103
"60",14.016,15.1
"61",13.988,14.097
"62",12.988,15.112
"63",13.02,17.101
"64",13.004,16.105
"65",14.042,17.098
"66",14.068,16.1
"67",16.001,16.036
"68",15.026,17.076
"69",15.987,17.056
"70",15.003,16.087
"71",15.965,19.084
"72",15.979,20.048
"73",15.982,18.073
"74",15.087,18.088
"75",15.043,19.053
"76",15.03,20.071
"77",13.963,18.117
"78",14.018,20.086
"79",13.051,18.114
"80",13.039,19.141
"81",14.024,19.115
"82",13.075,20.083
"83",10.915,19.122
"84",12.074,19.146
"85",12.12,18.147
"86",10.891,18.054
"87",12.083,20.128
"88",10.889,20.06
"89",9.927,19.137
"90",9.922,20.102
"91",9.973,18.069
"92",16.941,18.066
"93",16.982,20.044
"94",16.963,19.075
"95",7.948,14.067
"96",7.934,15.059
"97",7.888,17.1
"98",7.949,16.058
"99",9.039,13.047
"100",8.974,15.075
"101",9.005,14.101
"102",9.024,17.101
"103",8.966,16.052
"104",8.953,18.123
"105",9.016,19.137
"106",7.924,19.141
"107",7.923,18.071
"108",14.041,21.074
"109",13.048,21.079
"110",16.016,21.036
"111",15.011,21.199
"112",9.919,21.027
"113",12.104,21.106
"114",10.91,21.025
"115",20.956,13.026
"116",21.911,12.021
"117",21.985,13.004
"118",20.963,12.011
"119",24.104,13.074
"120",23.089,13.112
"121",23.159,12.11
"122",18.014,13.011
"123",18.003,12.045
"124",18.987,12.027
"125",18.947,13.037
"126",20.049,13.047
"127",20.043,12.064
"128",20.045,15.084
"129",18.999,14.054
"130",20.009,14.118
"131",18.946,15.079
"132",18.029,15.076
"133",17.985,14.023
"134",18.005,16.074
"135",18.006,17.101
"136",18.981,16.045
"137",20.057,16.054
"138",19.014,17.064
"139",20.053,17.144
"140",23.113,15.098
"141",24.051,15.103
"142",24.098,14.066
"143",23.14,14.129
"144",21.905,14.024
"145",20.997,14.001
"146",20.959,15.073
"147",21.95,15.022
"148",21.939,16.016
"149",21.942,17.038
"150",20.917,16.026
"151",20.931,17.088
"152",23.108,17.15
"153",24.073,16.077
"154",24.097,17.116
"155",23.132,16.099
"156",25.069,12.085
"157",26.094,13.04
"158",25.113,13.092
"159",26.038,12.058
"160",26.073,15.042
"161",26.05,14.068
"162",25.032,14.077
"163",25.104,15.095
"164",26.084,17.051
"165",26.069,16.055
"166",25.054,16.105
"167",25.072,17.081
"168",25.086,19.093
"169",26.095,20.067
"170",25.088,18.079
"171",25.097,20.079
"172",26.043,18.053
"173",26.096,19.077
"174",23.137,19.129
"175",24.104,19.104
"176",23.087,18.132
"177",24.109,18.089
"178",24.106,20.115
"179",23.144,20.121
"180",21.965,20.01
"181",20.908,18.049
"182",20.985,20.071
"183",20.969,18.993
"184",21.965,19.016
"185",21.939,18.025
"186",19.012,19.025
"187",20.06,19.068
"188",18.977,18.073
"189",20.064,20.082
"190",18.996,20.044
"191",20.104,18.051
"192",17.994,18.082
"193",17.979,19.059
"194",18.006,20.069
"195",8.957,11.091
"196",8.997,10.052
"197",9.04,12.046
"198",9.006,20.114
"199",14.063,22.058
"200",13.084,22.085
"201",16.047,22.132
"202",15.028,22.055
"203",12.091,22.103
"204",10.908,22.093
"205",12.104,23.073
"206",15.037,23.003
"207",13.018,23.006
"208",14.06,23.002
"209",25.082,21.054
"210",26.076,21.03
"211",27.078,21.025
"212",21.016,21.023
"213",21.949,21.039
"214",23.16,21.089
"215",24.13,21.069
"216",17.988,21.061
"217",19.011,21.044
"218",20.069,21.094
"219",23.077,11.112
"220",24.087,11.075
"221",21.926,11.038
"222",20.93,11.007
"223",20.063,11.042
"224",18.93,11.054
"225",17.984,11.083
"226",25.03,11.1
"227",26.991,13.041
"228",27.997,14.034
"229",27.034,15.057
"230",27.966,15.165
"231",27.06,14.035
"232",27.011,17.187
"233",28.04,17.062
"234",27.018,16.042
"235",28.004,16.037
"236",28.016,19.075
"237",27.041,19.066
"238",26.99,18.059
"239",28.047,18.055
"240",26.108,22.063
"241",25.084,22.07
"242",26.147,22.981
"243",25.146,22.992
"244",21.931,22.121
"245",21.074,22.101
"246",23.144,22.097
"247",24.114,22.074
"248",19.032,22.087
"249",20.043,22.146
"250",20.038,22.966
"251",19.031,22.942
"252",24.099,23.018
"253",23.137,23.03
"254",21.027,22.938
"255",21.978,23.005
"256",20.089,24.006
"257",24.146,24.011
"258",23.124,24.046
"259",21.01,23.944
"260",22.053,23.962
"261",27.018,20.088
