"","x","y"
"1",16.92,9.015
"2",16.945,11.075
"3",16.97,10.118
"4",16.939,12.132
"5",16.949,13.055
"6",16.942,15.088
"7",16.941,17.065
"8",16.919,16.055
"9",9.862,9.024
"10",12.08,9.115
"11",10.802,9.131
"12",13.979,9.1
"13",15.008,9.051
"14",15.949,9.027
"15",15.944,10.075
"16",15.002,11.082
"17",15.004,10.067
"18",15.968,11.107
"19",13.095,11.07
"20",13.98,11.112
"21",13.044,10.102
"22",14.012,10.11
"23",14.025,13.091
"24",13.03,12.084
"25",13.071,13.097
"26",14.011,12.095
"27",15.941,12.112
"28",15.041,12.084
"29",15.044,13.062
"30",15.919,13.049
"31",10.861,10.031
"32",12.009,11.134
"33",12.053,10.127
"34",10.877,11.024
"35",9.865,9.925
"36",9.904,11.036
"37",9.894,13.04
"38",9.876,12.033
"39",12.025,13.139
"40",10.901,13.022
"41",10.897,12.014
"42",12.054,12.119
"43",12.033,15.113
"44",10.927,15.025
"45",12.156,14.169
"46",10.918,14.019
"47",9.853,15.049
"48",9.846,14.032
"49",9.903,17.052
"50",9.938,16.03
"51",11.996,16.133
"52",12.138,17.112
"53",10.882,16.005
"54",15.042,15.076
"55",15.959,14.072
"56",15.052,14.069
"57",15.929,15.087
"58",13.045,14.103
"59",14.016,15.1
"60",13.988,14.097
"61",12.988,15.112
"62",13.02,17.101
"63",13.004,16.105
"64",14.042,17.098
"65",14.068,16.1
"66",16.001,16.036
"67",15.026,17.076
"68",15.987,17.056
"69",15.003,16.087
"70",15.965,19.084
"71",15.979,20.048
"72",15.982,18.073
"73",15.087,18.088
"74",15.043,19.053
"75",15.03,20.071
"76",13.963,18.117
"77",14.018,20.086
"78",13.051,18.114
"79",13.039,19.141
"80",14.024,19.115
"81",13.075,20.083
"82",10.915,19.122
"83",12.074,19.146
"84",12.12,18.147
"85",10.891,18.054
"86",12.083,20.128
"87",10.889,20.06
"88",9.927,19.137
"89",9.922,20.102
"90",9.973,18.069
"91",16.941,18.066
"92",16.982,20.044
"93",16.963,19.075
"94",7.948,14.067
"95",7.934,15.059
"96",7.888,17.1
"97",7.949,16.058
"98",9.039,13.047
"99",8.974,15.075
"100",9.005,14.101
"101",9.024,17.101
"102",8.966,16.052
"103",8.953,18.123
"104",9.016,19.137
"105",7.924,19.141
"106",7.923,18.071
"107",14.041,21.074
"108",13.048,21.079
"109",16.016,21.036
"110",15.011,21.199
"111",9.919,21.027
"112",12.104,21.106
"113",10.91,21.025
"114",20.956,13.026
"115",21.911,12.021
"116",21.985,13.004
"117",20.963,12.011
"118",24.104,13.074
"119",23.089,13.112
"120",23.159,12.11
"121",18.014,13.011
"122",18.003,12.045
"123",18.987,12.027
"124",18.947,13.037
"125",20.049,13.047
"126",20.043,12.064
"127",20.045,15.084
"128",18.999,14.054
"129",20.009,14.118
"130",18.946,15.079
"131",18.029,15.076
"132",17.985,14.023
"133",18.005,16.074
"134",18.006,17.101
"135",18.981,16.045
"136",20.057,16.054
"137",19.014,17.064
"138",20.053,17.144
"139",23.113,15.098
"140",24.051,15.103
"141",24.098,14.066
"142",23.14,14.129
"143",21.905,14.024
"144",20.997,14.001
"145",20.959,15.073
"146",21.95,15.022
"147",21.939,16.016
"148",21.942,17.038
"149",20.917,16.026
"150",20.931,17.088
"151",23.108,17.15
"152",24.073,16.077
"153",24.097,17.116
"154",23.132,16.099
"155",25.069,12.085
"156",26.094,13.04
"157",25.113,13.092
"158",26.038,12.058
"159",26.073,15.042
"160",26.05,14.068
"161",25.032,14.077
"162",25.104,15.095
"163",26.084,17.051
"164",26.069,16.055
"165",25.054,16.105
"166",25.072,17.081
"167",25.086,19.093
"168",26.095,20.067
"169",25.088,18.079
"170",25.097,20.079
"171",26.043,18.053
"172",26.096,19.077
"173",23.137,19.129
"174",24.104,19.104
"175",23.087,18.132
"176",24.109,18.089
"177",24.106,20.115
"178",23.144,20.121
"179",21.965,20.01
"180",20.908,18.049
"181",20.985,20.071
"182",20.969,18.993
"183",21.965,19.016
"184",21.939,18.025
"185",19.012,19.025
"186",20.06,19.068
"187",18.977,18.073
"188",20.064,20.082
"189",18.996,20.044
"190",20.104,18.051
"191",17.994,18.082
"192",17.979,19.059
"193",8.957,11.091
"194",8.997,10.052
"195",9.04,12.046
"196",9.006,20.114
"197",14.063,22.058
"198",13.084,22.085
"199",16.047,22.132
"200",15.028,22.055
"201",12.091,22.103
"202",10.908,22.093
"203",12.104,23.073
"204",15.037,23.003
"205",13.018,23.006
"206",14.06,23.002
"207",25.082,21.054
"208",26.076,21.03
"209",27.078,21.025
"210",21.016,21.023
"211",21.949,21.039
"212",23.16,21.089
"213",24.13,21.069
"214",17.988,21.061
"215",19.011,21.044
"216",20.069,21.094
"217",23.077,11.112
"218",24.087,11.075
"219",21.926,11.038
"220",20.93,11.007
"221",20.063,11.042
"222",18.93,11.054
"223",17.984,11.083
"224",25.03,11.1
"225",26.991,13.041
"226",27.997,14.034
"227",27.034,15.057
"228",27.966,15.165
"229",27.06,14.035
"230",27.011,17.187
"231",28.04,17.062
"232",27.018,16.042
"233",28.004,16.037
"234",28.016,19.075
"235",27.041,19.066
"236",26.99,18.059
"237",28.047,18.055
"238",26.108,22.063
"239",25.084,22.07
"240",26.147,22.981
"241",25.146,22.992
"242",21.931,22.121
"243",21.074,22.101
"244",23.144,22.097
"245",24.114,22.074
"246",19.032,22.087
"247",20.043,22.146
"248",20.038,22.966
"249",19.031,22.942
"250",24.099,23.018
"251",23.137,23.03
"252",21.027,22.938
"253",21.978,23.005
"254",20.089,24.006
"255",24.146,24.011
"256",23.124,24.046
"257",21.01,23.944
"258",22.053,23.962
"259",27.018,20.088
"260",17.964,10.137
